,element_type,osmid,name,public_transport,geometry,lat,lon,icona
3058,node,9436677648,Via Sammartini Via Zuccoli,platform,POINT (9.2103732 45.4938102),45.4938102,9.2103732,
3059,node,9436677649,Via F. Aporti Via Varanini,stop_position,POINT (9.2135521 45.4935222),45.4935222,9.2135521,
3060,node,9436677650,Via F. Aporti Via Varanini,platform,POINT (9.2134926 45.4935541),45.4935541,9.2134926,
3061,node,9436677651,Via F. Aporti Via D'Apulia,stop_position,POINT (9.2150848 45.4950815),45.4950815,9.2150848,
3062,node,9436677652,Via F. Aporti Via D'Apulia,platform,POINT (9.2150181 45.4951151),45.4951151,9.2150181,
3063,node,9436677653,V.le Rim. di Greco L.go S.Valentino,stop_position,POINT (9.2127138 45.497562),45.497562,9.2127138,
3064,node,9436677654,V.le Rimembranze di Greco,stop_position,POINT (9.211963 45.499617),45.499617,9.211963,
3065,node,9436677655,Piazza Greco,stop_position,POINT (9.2113303 45.5021438),45.5021438,9.2113303,
3066,node,9436677656,Cimitero di Greco,stop_position,POINT (9.2118719 45.5040834),45.5040834,9.2118719,
3067,node,9436677657,Via E. De Marchi - Via Breda,stop_position,POINT (9.2105515 45.5071964),45.5071964,9.2105515,
3068,node,9436677658,Via E. De Marchi Via Breda,platform,POINT (9.2104925 45.5071768),45.5071768,9.2104925,
3069,node,9436677659,Via Cozzi - Via E. De Marchi,stop_position,POINT (9.2088658 45.5089464),45.5089464,9.2088658,
3070,node,9436677660,Via Cozzi - Via E. De Marchi,platform,POINT (9.2088 45.5089188),45.5089188,9.2088,
3071,node,9436677661,V.le Dell'Innovazione Via Temolo,stop_position,POINT (9.2108674 45.5110204),45.5110204,9.2108674,
3072,node,9436677662,Teatro Arcimboldi,stop_position,POINT (9.2130114 45.5147793),45.5147793,9.2130114,
3073,node,9436677663,Arcimboldi Ateneo Nuovo,stop_position,POINT (9.2135354 45.5168383),45.5168383,9.2135354,
3074,node,9436677664,Arcimboldi Ateneo Nuovo,platform,POINT (9.2135234 45.5168181),45.5168181,9.2135234,
3075,node,9436677665,Università Bicocca,stop_position,POINT (9.2127561 45.5181937),45.5181937,9.2127561,
3076,node,9436677666,Università Bicocca,platform,POINT (9.2126738 45.5182136),45.5182136,9.2126738,
3077,node,9436677667,Via Chiese Via P. e A. Pirelli,stop_position,POINT (9.2141725 45.520693),45.520693,9.2141725,
3078,node,9436677668,Via Chiese Via P. e A. Pirelli,platform,POINT (9.2140947 45.5207094),45.5207094,9.2140947,
3079,node,9436677669,Via Chiese (HangarBicocca),stop_position,POINT (9.2182454 45.5200994),45.5200994,9.2182454,
3080,node,9436677670,Via Sesto San Giovanni - Via Porto Corsini,stop_position,POINT (9.2212296 45.5222738),45.5222738,9.2212296,
3081,node,9436677671,Sesto Marelli M1,stop_position,POINT (9.2278691 45.5229568),45.5229568,9.2278691,
3082,node,9436677672,V.le Monza Via Empedocle,stop_position,POINT (9.2276312 45.520258),45.520258,9.2276312,
3083,node,9436677673,V.le Monza Via Empedocle,platform,POINT (9.2276493 45.5203156),45.5203156,9.2276493,
3084,node,9436677674,Via Anassagora Via Pitagora,stop_position,POINT (9.2302813 45.5192952),45.5192952,9.2302813,
3085,node,9436677675,Via Anassagora Via Pitagora,platform,POINT (9.2303637 45.5193017),45.5193017,9.2303637,
3086,node,9455340734,Via Ravenna - Via Pomposa,platform,POINT (9.2188013 45.4356659),45.4356659,9.2188013,
3087,node,9455340735,Via D'Agrate - Piazza Angilberto II,platform,POINT (9.2159347 45.4367848),45.4367848,9.2159347,
3088,node,9455340736,Via D'Agrate - Via Cassano d'Adda,platform,POINT (9.2130172 45.4368389),45.4368389,9.2130172,
3089,node,9455340737,Via Antonini - Via Lampedusa,platform,POINT (9.1870936 45.4372421),45.4372421,9.1870936,
3090,node,9457632139,Viale Suzzani - Via Ponale,platform,POINT (9.2076065 45.5236602),45.5236602,9.2076065,
3091,node,9458578380,Stazione Centrale M2 M3,platform,POINT (9.2024459 45.4868653),45.4868653,9.2024459,
3092,node,9471105464,V.le Certosa Via Giorgini,platform,POINT (9.1239607 45.5024434),45.5024434,9.1239607,
3093,node,9471105465,Cimitero Maggiore,platform,POINT (9.1213771 45.5031243),45.5031243,9.1213771,
3094,node,9471270836,V.le Certosa Via Cormons,platform,POINT (9.1263116 45.5013633),45.5013633,9.1263116,
3095,node,9471611824,V.le Certosa V.le Serra,platform,POINT (9.1510067 45.4901892),45.4901892,9.1510067,
3096,node,9471611825,Viale Certosa - Via Grosotto,platform,POINT (9.1474465 45.4917909),45.4917909,9.1474465,
3097,node,9471611827,V.le Certosa Via Casella,platform,POINT (9.1418005 45.4943513),45.4943513,9.1418005,
3098,node,9471611828,V.le Certosa Via Giannini,platform,POINT (9.1374265 45.4963334),45.4963334,9.1374265,
