,index,name,public_transport,geometry,subway,railway,lat,lon
85,85,Pasteur,station,POINT (9.2179293 45.4902857),,station,45.4902857,9.2179293
86,86,San Babila,station,POINT (9.197568 45.4666474),,station,45.4666474,9.197568
87,87,Palestro,station,POINT (9.2021428 45.4716297),,station,45.4716297,9.2021428
88,88,Lima,station,POINT (9.2109589 45.480357),,station,45.480357,9.2109589
89,89,Cairoli,station,POINT (9.1819853 45.4684915),,station,45.4684915,9.1819853
90,90,Cordusio,station,POINT (9.1862299 45.4655495),,station,45.4655495,9.1862299
91,91,Inganni,station,POINT (9.1222244 45.4575781),,station,45.4575781,9.1222244
92,92,Primaticcio,station,POINT (9.1292549 45.4594303),,station,45.4594303,9.1292549
93,93,Bande Nere,station,POINT (9.1364657 45.461524),,station,45.461524,9.1364657
94,94,Gambara,station,POINT (9.1430147 45.4649139),,station,45.4649139,9.1430147
96,96,San Leonardo,station,POINT (9.1015462 45.5011378),,station,45.5011378,9.1015462
97,97,Bonola,station,POINT (9.1101295 45.4970317),,station,45.4970317,9.1101295
98,98,Uruguay,station,POINT (9.1202555 45.4938806),,station,45.4938806,9.1202555
99,99,Lampugnano,station,POINT (9.1271948 45.489492),,station,45.489492,9.1271948
100,100,QT8,station,POINT (9.1370307 45.4860084),,station,45.4860084,9.1370307
101,101,Lotto,station,POINT (9.1437786 45.479692),,station,45.479692,9.1437786
102,102,Lotto,station,POINT (9.144456 45.4786497),,station,45.4786497,9.144456
103,103,Amendola,station,POINT (9.1509963 45.4736967),,station,45.4736967,9.1509963
104,104,Buonarroti,station,POINT (9.155316 45.4704169),,station,45.4704169,9.155316
105,105,De Angeli,station,POINT (9.1495656 45.4664527),,station,45.4664527,9.1495656
106,106,Wagner,station,POINT (9.1555175 45.4678782),,station,45.4678782,9.1555175
107,107,Pagano,station,POINT (9.161102 45.4683019),,station,45.4683019,9.161102
108,108,Conciliazione,station,POINT (9.1666054 45.467522),,station,45.467522,9.1666054
110,110,San Siro Ippodromo,station,POINT (9.1290328 45.4760554),,station,45.4760554,9.1290328
112,112,Portello,station,POINT (9.1506045 45.4813162),,station,45.4813162,9.1506045
113,113,Tre Torri,station,POINT (9.1567618 45.478044),,station,45.478044,9.1567618
114,114,Domodossola FN,station,POINT (9.1619408 45.4814045),,station,45.4814045,9.1619408
115,115,Gerusalemme,station,POINT (9.1666565 45.4844616),,station,45.4844616,9.1666565
116,116,Cenisio,station,POINT (9.172262 45.4874537),,station,45.4874537,9.172262
117,117,Monumentale,station,POINT (9.1804883 45.4851181),,station,45.4851181,9.1804883
118,118,Bignami,station,POINT (9.2121828 45.5267835),,station,45.5267835,9.2121828
119,119,Ponale,station,POINT (9.2094704 45.5219991),,station,45.5219991,9.2094704
120,120,Bicocca,station,POINT (9.2053603 45.5147332),,station,45.5147332,9.2053603
121,121,Ca' Granda - Pratocentenaro,station,POINT (9.201118 45.5072418),,station,45.5072418,9.201118
122,122,Istria,station,POINT (9.197952 45.5016171),,station,45.5016171,9.197952
123,123,Marche,station,POINT (9.1949689 45.496352),,station,45.496352,9.1949689
124,124,Isola,station,POINT (9.1912938 45.487612),,station,45.487612,9.1912938
