,lat,lon
0,45.4522821,9.1417609
1,45.4509566,9.1687198
2,45.4787442,9.1749509
3,45.4909719,9.1537332
4,45.4915303,9.1534811
5,45.4934557,9.1570134
6,45.4855757,9.1582607
7,45.4735476,9.1561864
8,45.452174,9.2242657
9,45.4446254,9.1727674
10,45.4532051,9.1462362
11,45.4538109,9.2239156
12,45.4595539,9.223923
13,45.4658972,9.223937
14,45.469675,9.2238108
15,45.4734751,9.2250046
16,45.4670591,9.1592314
17,45.4751033,9.1365193
18,45.4695368,9.1319028
19,45.4586162,9.1383612
20,45.4556353,9.1400656
21,45.467439,9.1655722
22,45.4622095,9.1285337
23,45.4872282,9.1308342
24,45.4905915,9.237132
25,45.4471073,9.2033952
26,45.4946969,9.2360076
27,45.4871584,9.2372883
28,45.491506,9.2496702
29,45.4919517,9.2368814
30,45.4995833,9.2422126
31,45.4300653,9.174702
32,45.4385327,9.1388557
33,45.4384349,9.1406975
34,45.4319019,9.1610501
35,45.4302035,9.1601674
36,45.4294992,9.1570919
37,45.4766536,9.086211
38,45.4660283,9.1278899
39,45.4682046,9.1294994
40,45.4606086,9.087483
41,45.4598402,9.1061113
42,45.4600225,9.129239
43,45.4643259,9.0848725
44,45.4676645,9.1808297
45,45.4864367,9.1362677
46,45.4517958,9.2237393
47,45.4599575,9.1470033
48,45.4561083,9.1169517
49,45.459843,9.154383
50,45.4593961,9.1549485
51,45.4603947,9.1505431
52,45.460151,9.1505391
53,45.5216657,9.2062335
54,45.518587,9.206886
55,45.4130241,9.1719088
56,45.4484292,9.2239868
57,45.4561532,9.154451
58,45.4565361,9.1547945
59,45.4433468,9.224015
60,45.4405616,9.2244709
61,45.4434089,9.2244575
62,45.4434908,9.1677208
63,45.4437352,9.1672853
64,45.473787,9.2296952
65,45.4730444,9.2304964
66,45.443603,9.1784738
67,45.4968457,9.2944157
68,45.4969849,9.2931864
69,45.4961407,9.2941064
70,45.5013352,9.2874786
71,45.4999433,9.2875739
72,45.4974474,9.2885435
73,45.4834879,9.164494
74,45.4697056,9.0896039
75,45.4800418,9.2677094
76,45.4824708,9.1429072
77,45.482855,9.1372522
78,45.4836679,9.1343563
79,45.4885577,9.1264489
80,45.4897969,9.1195208
81,45.4894928,9.1195732
82,45.4928786,9.1277692
83,45.493014,9.1282252
84,45.4939187,9.1241147
85,45.4895368,9.1241848
86,45.4941102,9.124226
87,45.4981862,9.1223216
88,45.4986228,9.1219731
89,45.4964458,9.1266006
90,45.49405,9.1151226
91,45.4945003,9.1139947
92,45.4844038,9.1401744
93,45.4864668,9.1362926
94,45.4835329,9.1417638
95,45.4686867,9.177442
96,45.4688087,9.1779224
97,45.4835942,9.1423986
98,45.4915693,9.1177527
99,45.4858095,9.1374265
100,45.4941355,9.1090715
101,45.4925834,9.1113488
102,45.4923502,9.1113782
103,45.49314,9.1151744
104,45.4930723,9.1149598
105,45.4925251,9.1181294
106,45.4924462,9.1177896
107,45.4944929,9.1092781
108,45.4935556,9.1204583
109,45.4934126,9.1200667
110,45.4852301,9.1276996
111,45.4855112,9.1279704
112,45.485139,9.1283872
113,45.4897938,9.1275658
114,45.4873104,9.1308702
115,45.4827841,9.137968
116,45.4859728,9.1241432
117,45.4852378,9.119927
118,45.4858623,9.1243328
119,45.4844352,9.1309123
120,45.4845124,9.130954
121,45.4836389,9.1340288
122,45.4797439,9.1414487
123,45.4796298,9.141469
124,45.4800482,9.141327
125,45.4793962,9.1423099
126,45.4798404,9.1427806
127,45.4799239,9.1432636
128,45.4805452,9.1424681
129,45.4791226,9.145005
130,45.4788517,9.1440737
131,45.4793684,9.1438713
132,45.4798605,9.1444156
133,45.4903612,9.2957903
134,45.4992447,9.2932106
135,45.4894283,9.2984542
136,45.497827,9.2847133
137,45.5003068,9.2846838
138,45.4871192,9.1309717
139,45.4852454,9.1391356
140,45.4824162,9.1443754
141,45.4825178,9.1439938
142,45.4850375,9.1437016
143,45.4971449,9.1171443
144,45.4972115,9.1166436
145,45.4969173,9.1142483
146,45.4973506,9.1136503
147,45.4934611,9.1236189
148,45.4933059,9.1233751
149,45.4969041,9.1201383
150,45.495988,9.122815
151,45.4958465,9.1227709
152,45.497143,9.1199312
153,45.495298,9.1303893
154,45.4778227,9.1460068
155,45.4777619,9.1462589
156,45.4790688,9.1482498
157,45.4796932,9.1488974
158,45.4814788,9.1516418
159,45.4830029,9.153963
160,45.4823717,9.1533089
161,45.4837321,9.1553957
162,45.4837001,9.15505
163,45.4863875,9.1592504
164,45.4869432,9.1603796
165,45.4962874,9.1101762
166,45.4954733,9.1127945
167,45.496183,9.1109465
168,45.5003647,9.1073121
169,45.500996,9.1074018
170,45.5041221,9.103853
171,45.4992152,9.1098906
172,45.4987183,9.1106272
173,45.5030384,9.1127363
174,45.5022482,9.116154
175,45.4773571,9.1090394
176,45.4780766,9.106277
177,45.4759193,9.1112274
178,45.4757673,9.1109416
179,45.4761097,9.1121929
180,45.4764976,9.111896
181,45.4739552,9.1169759
182,45.4734049,9.118371
183,45.4763508,9.1148725
184,45.4754679,9.1140129
185,45.4754652,9.114729
186,45.4701045,9.1231095
187,45.4704132,9.1235096
188,45.4724857,9.1194678
189,45.4837487,9.1046425
190,45.4835401,9.1046048
191,45.4892208,9.1015049
192,45.489266,9.1013057
193,45.4909824,9.101125
194,45.4906263,9.1013022
195,45.4934577,9.1014567
196,45.4921093,9.1044375
197,45.4924737,9.1037878
198,45.4928937,9.1072005
199,45.4924532,9.1067723
200,45.4994301,9.0977339
201,45.4971597,9.1005931
202,45.4958342,9.10305
203,45.4966032,9.1064781
204,45.4966765,9.1066496
205,45.4884293,9.1273459
206,45.5030585,9.1214847
207,45.4955203,9.1034845
208,45.4920513,9.2938972
209,45.4822312,9.1433354
210,45.4846785,9.1439614
211,45.4889627,9.149498
212,45.4881789,9.1489801
213,45.4895663,9.1511149
214,45.4901644,9.1508957
215,45.4904993,9.1510025
216,45.4904885,9.1518508
217,45.4419929,9.1166516
218,45.4429495,9.11613
219,45.4433994,9.1163854
220,45.4435334,9.1164314
221,45.4433876,9.1160697
222,45.4553538,9.1126388
223,45.4557583,9.1128696
224,45.4601612,9.1161433
225,45.4450621,9.1211969
226,45.4642316,9.1138941
227,45.4665875,9.1126453
228,45.4682349,9.1118203
229,45.4701164,9.1128824
230,45.4703001,9.1127513
231,45.469927,9.1157425
232,45.4708005,9.1148275
233,45.4692382,9.1071584
234,45.4706593,9.1058737
235,45.471802,9.1067045
236,45.4697527,9.1099164
237,45.4735027,9.1064386
238,45.4741007,9.1079472
239,45.4742199,9.1095516
240,45.4770492,9.1174588
241,45.4773299,9.1172327
242,45.4762784,9.1234966
243,45.4759821,9.1250156
244,45.5005031,9.2401479
245,45.4885931,9.1627939
246,45.4908991,9.1656378
247,45.4872162,9.1604887
248,45.49469,9.1613777
249,45.4896205,9.1642086
