,name,geometry,lat,lon
86,,POINT (9.2198168 45.4834017),45.4834017,9.2198168
87,The Big Parking,POINT (9.1891998 45.4816655),45.4816655,9.1891998
88,,POINT (9.1661944 45.4986263),45.4986263,9.1661944
89,,POINT (9.1724519 45.5210038),45.5210038,9.1724519
90,,POINT (9.0838053 45.4652515),45.4652515,9.0838053
91,,POINT (9.1305933 45.5163445),45.5163445,9.1305933
92,,POINT (9.1949536 45.4817197),45.4817197,9.1949536
93,,POINT (9.2452229 45.4798153),45.4798153,9.2452229
94,,POINT (9.1964849 45.4886085),45.4886085,9.1964849
95,,POINT (9.1314118 45.4677835),45.4677835,9.1314118
96,,POINT (9.1221742 45.4751021),45.4751021,9.1221742
97,,POINT (9.1747859 45.5243147),45.5243147,9.1747859
98,,POINT (9.1757139 45.5244368),45.5244368,9.1757139
99,,POINT (9.1865065 45.46234),45.46234,9.1865065
100,,POINT (9.1666476 45.5278005),45.5278005,9.1666476
101,Parcheggio Breme,POINT (9.1389798 45.4990994),45.4990994,9.1389798
102,Ripamonti Parking,POINT (9.2013643 45.4360098),45.4360098,9.2013643
103,Esselunga,POINT (9.1781303 45.4207165),45.4207165,9.1781303
104,OVS,POINT (9.2017486 45.4350166),45.4350166,9.2017486
105,,POINT (9.1829361 45.4764204),45.4764204,9.1829361
106,,POINT (9.1320658 45.5003347),45.5003347,9.1320658
107,MediaWorld,POINT (9.1519347 45.4895236),45.4895236,9.1519347
108,,POINT (9.1895035 45.4798654),45.4798654,9.1895035
109,,POINT (9.1967419 45.4644913),45.4644913,9.1967419
110,,POINT (9.1965005 45.4642544),45.4642544,9.1965005
111,,POINT (9.1971201 45.4648675),45.4648675,9.1971201
112,,POINT (9.1963047 45.4640719),45.4640719,9.1963047
113,,POINT (9.2167592 45.5221739),45.5221739,9.2167592
114,,POINT (9.2164608 45.5215875),45.5215875,9.2164608
115,,POINT (9.2475939 45.5006056),45.5006056,9.2475939
116,Garage Sangallo,POINT (9.2289478 45.4713151),45.4713151,9.2289478
117,,POINT (9.2201846 45.4794033),45.4794033,9.2201846
118,,POINT (9.2297535 45.4854731),45.4854731,9.2297535
119,,POINT (9.2653638 45.4905488),45.4905488,9.2653638
120,,POINT (9.1687626 45.5047689),45.5047689,9.1687626
121,Autorimessa Smeraldo,POINT (9.180364 45.4800125),45.4800125,9.180364
122,McDonald's,POINT (9.2639233 45.4863484),45.4863484,9.2639233
123,McDonald's,POINT (9.2634914 45.4860907),45.4860907,9.2634914
124,Grand Garage,POINT (9.2260913 45.4697319),45.4697319,9.2260913
125,Porta Nuova Varesine,POINT (9.1954787 45.4806682),45.4806682,9.1954787
126,,POINT (9.242552 45.4587095),45.4587095,9.242552
127,,POINT (9.2103397 45.4833069),45.4833069,9.2103397
128,COOP P.S.,POINT (9.2040444 45.4579972),45.4579972,9.2040444
