,name,geometry,lat,lon
691,,"POLYGON ((9.1087497 45.4593144, 9.1087363 45.459351, 9.1093001 45.4594523, 9.1093134 45.4594157, 9.1087497 45.4593144))",9.1087497,45.4593144
692,,"POLYGON ((9.1080151 45.4592948, 9.1085286 45.4593914, 9.1084894 45.4594287, 9.1082122 45.4593747, 9.1082025 45.4593966, 9.1080917 45.4593764, 9.1079909 45.459358, 9.1080151 45.4592948))",9.1080151,45.4592948
693,,"POLYGON ((9.1093758 45.4594034, 9.1094229 45.4594125, 9.109547 45.4590958, 9.1094999 45.4590867, 9.1093758 45.4594034))",9.1093758,45.4594034
694,,"POLYGON ((9.1408984 45.4478341, 9.1408115 45.4479687, 9.1411103 45.4480635, 9.1411971 45.447929, 9.1408984 45.4478341))",9.1408984,45.4478341
695,,"POLYGON ((9.140061 45.4473919, 9.1402014 45.4474364, 9.1400995 45.4475793, 9.1402938 45.4476405, 9.1402031 45.4477708, 9.1398496 45.4476525, 9.1400165 45.4473931, 9.140061 45.4473919))",9.140061,45.4473919
696,,"POLYGON ((9.222081 45.4401607, 9.2221803 45.4400628, 9.2222339 45.4400572, 9.2229769 45.4396883, 9.2229984 45.4396563, 9.2230894 45.4396112, 9.2227087 45.4394568, 9.2217765 45.4399179, 9.2217726 45.4400139, 9.222081 45.4401607))",9.222081,45.4401607
697,,"POLYGON ((9.1929741 45.4389621, 9.1928394 45.4390521, 9.1924777 45.4387853, 9.1926124 45.4386953, 9.1927603 45.4388044, 9.1929741 45.4389621))",9.1929741,45.4389621
698,,"POLYGON ((9.1630311 45.4375796, 9.1630304 45.4375908, 9.1628995 45.4375869, 9.1628984 45.4376061, 9.1630293 45.4376099, 9.1632129 45.4376162, 9.1632146 45.4375859, 9.1632151 45.437579, 9.1630315 45.4375727, 9.1630311 45.4375796))",9.1630311,45.4375796
699,,"POLYGON ((9.1658644 45.4396853, 9.1662052 45.4396846, 9.1662144 45.4398288, 9.1658676 45.4398295, 9.1658662 45.4397669, 9.1658644 45.4396853))",9.1658644,45.4396853
700,,"POLYGON ((9.2057486 45.4965476, 9.2057704 45.4965832, 9.2061754 45.4964617, 9.2061536 45.4964261, 9.2057486 45.4965476))",9.2057486,45.4965476
701,,"POLYGON ((9.2047973 45.4968918, 9.2048231 45.4969263, 9.20502 45.4968539, 9.2049942 45.4968194, 9.2047973 45.4968918))",9.2047973,45.4968918
702,,"POLYGON ((9.2062348 45.4964085, 9.2062522 45.4964383, 9.2063673 45.4964052, 9.2063499 45.4963754, 9.2062348 45.4964085))",9.2062348,45.4964085
703,,"POLYGON ((9.2049655 45.4989869, 9.2050719 45.4991643, 9.205454 45.4990518, 9.2053476 45.4988744, 9.2049655 45.4989869))",9.2049655,45.4989869
704,,"POLYGON ((9.1635346 45.4738943, 9.1632695 45.4737099, 9.163342 45.4736587, 9.1635836 45.4738267, 9.1636071 45.4738431, 9.1635346 45.4738943))",9.1635346,45.4738943
705,,"POLYGON ((9.256695 45.509535, 9.2561102 45.5092154, 9.2553968 45.5086966, 9.25515 45.5088583, 9.2558474 45.5093921, 9.2559802 45.5093295, 9.2566306 45.5096252, 9.256695 45.509535))",9.256695,45.509535
706,,"POLYGON ((9.2517485 45.5060985, 9.2509896 45.5055146, 9.2511437 45.5054165, 9.2518998 45.5060003, 9.2517485 45.5060985))",9.2517485,45.5060985
707,,"POLYGON ((9.2550008 45.5085926, 9.2536843 45.5075834, 9.2538645 45.5074612, 9.2550845 45.5084096, 9.2550683 45.5084907, 9.2550479 45.5085513, 9.2550008 45.5085926))",9.2550008,45.5085926
708,,"POLYGON ((9.1747112 45.4366381, 9.1747489 45.4366335, 9.1746678 45.4363061, 9.17463 45.4363107, 9.1747112 45.4366381))",9.1747112,45.4366381
709,,"POLYGON ((9.1729034 45.4359486, 9.1728724 45.4359876, 9.1734709 45.4362222, 9.173502 45.4361832, 9.1729034 45.4359486))",9.1729034,45.4359486
710,,"POLYGON ((9.1725649 45.504467, 9.1726813 45.5045013, 9.1728877 45.5045621, 9.172982 45.5045899, 9.1729362 45.5046691, 9.1728046 45.5046303, 9.1726477 45.5045841, 9.1725176 45.5045457, 9.1725649 45.504467))",9.1725649,45.504467
711,,"POLYGON ((9.1428391 45.4790477, 9.1427495 45.4775209, 9.1427617 45.4773167, 9.1427968 45.4770782, 9.1429657 45.4765048, 9.1431556 45.4765291, 9.1430129 45.4770959, 9.1429794 45.4773207, 9.1429632 45.4775452, 9.1430327 45.47904, 9.1428391 45.4790477))",9.1428391,45.4790477
712,,"POLYGON ((9.1233048 45.473865, 9.1233363 45.4738196, 9.1233136 45.4735053, 9.1230339 45.4736716, 9.1230489 45.4738916, 9.1232269 45.4738936, 9.1233048 45.473865))",9.1233048,45.473865
713,,"POLYGON ((9.2070537 45.4398141, 9.2070447 45.4398428, 9.2074967 45.4399123, 9.2075057 45.4398836, 9.2070537 45.4398141))",9.2070537,45.4398141
714,Parcheggio Stazione,"POLYGON ((9.1474779 45.5191111, 9.1466867 45.5189664, 9.1465392 45.5189739, 9.1464051 45.519004, 9.1462683 45.519066, 9.1461851 45.5191693, 9.1460708 45.5194362, 9.1462307 45.5194663, 9.146209 45.5195302, 9.1461799 45.5196159, 9.1461637 45.5196636, 9.1462441 45.5196843, 9.1462754 45.5197341, 9.1462951 45.5198008, 9.1460859 45.5203213, 9.1465529 45.5204213, 9.1465795 45.5203723, 9.1466619 45.5203943, 9.1468628 45.5199408, 9.1472249 45.5200179, 9.1473933 45.5195603, 9.1474381 45.5194374, 9.1474887 45.5193009, 9.1474136 45.5192877, 9.1474779 45.5191111))",9.1474779,45.5191111
715,,"POLYGON ((9.2521128 45.4494444, 9.252188 45.4494978, 9.2522774 45.4495613, 9.250978 45.4505184, 9.2508652 45.4504564, 9.2508216 45.4504261, 9.2508998 45.4503957, 9.2508425 45.4503604, 9.2514598 45.4499153, 9.2515131 45.4498796, 9.2521128 45.4494444))",9.2521128,45.4494444
716,,"POLYGON ((9.2013023 45.5038928, 9.2018193 45.5039208, 9.2018908 45.504001, 9.2018411 45.5040511, 9.2016629 45.5040707, 9.2014217 45.504046, 9.2013023 45.5038928))",9.2013023,45.5038928
717,,"POLYGON ((9.1597242 45.4706683, 9.1596903 45.4706944, 9.1599299 45.4708479, 9.1599639 45.4708218, 9.1597242 45.4706683))",9.1597242,45.4706683
718,,"POLYGON ((9.1600476 45.4708795, 9.1600155 45.4709042, 9.1601614 45.4709975, 9.1601935 45.4709727, 9.1600476 45.4708795))",9.1600476,45.4708795
719,,"POLYGON ((9.1611177 45.4736963, 9.1610423 45.4736484, 9.1609711 45.4736029, 9.1608193 45.4737231, 9.1608616 45.4737516, 9.1608322 45.4737761, 9.1608444 45.473803, 9.1608572 45.4738305, 9.1608654 45.4738237, 9.1609105 45.4738517, 9.1611177 45.4736963))",9.1611177,45.4736963
720,,"POLYGON ((9.1619269 45.4460978, 9.1623682 45.4462149, 9.1626191 45.4462837, 9.1626993 45.4461688, 9.1626198 45.4461396, 9.1620315 45.4459921, 9.1619995 45.4459804, 9.1619269 45.4460978))",9.1619269,45.4460978
721,,"POLYGON ((9.1274342 45.4867153, 9.1272566 45.4866812, 9.1271831 45.4869091, 9.1271549 45.4869988, 9.1272596 45.4870186, 9.1273257 45.4869388, 9.1274342 45.4867153))",9.1274342,45.4867153
722,,"POLYGON ((9.1193106 45.4712222, 9.119344 45.4712506, 9.119881 45.4709399, 9.1198476 45.4709115, 9.1193106 45.4712222))",9.1193106,45.4712222
723,,"POLYGON ((9.115323 45.4733757, 9.1153504 45.4733996, 9.1155516 45.473286, 9.1155242 45.4732621, 9.115323 45.4733757))",9.115323,45.4733757
724,,"POLYGON ((9.1176962 45.4713967, 9.1181482 45.4717846, 9.1180166 45.4718561, 9.1175664 45.4714689, 9.1176962 45.4713967))",9.1176962,45.4713967
725,,"POLYGON ((9.142004 45.4914575, 9.1426403 45.4916056, 9.1426423 45.4916619, 9.1423286 45.4925428, 9.1418679 45.492459, 9.1421444 45.4916711, 9.1419654 45.4916387, 9.1417924 45.4921077, 9.141935 45.4921336, 9.1418208 45.4924617, 9.141489 45.4924055, 9.141718 45.4916928, 9.142004 45.4914575))",9.142004,45.4914575
726,,"POLYGON ((9.1207622 45.4968019, 9.1207889 45.4968352, 9.1202051 45.4970649, 9.1201784 45.4970316, 9.1207622 45.4968019))",9.1207622,45.4968019
727,,"POLYGON ((9.1454247 45.5147401, 9.1454712 45.514759, 9.1458148 45.5143424, 9.1457683 45.5143235, 9.1454247 45.5147401))",9.1454247,45.5147401
728,,"POLYGON ((9.1397884 45.512559, 9.1403264 45.5126296, 9.1403973 45.5126388, 9.1403567 45.5127894, 9.1402902 45.5127805, 9.1397938 45.5127148, 9.139748 45.5127087, 9.1397884 45.512559))",9.1397884,45.512559
729,,"POLYGON ((9.1140524 45.5026887, 9.11401 45.5025757, 9.1139763 45.5025166, 9.1153389 45.5021942, 9.1153621 45.5022742, 9.1153873 45.502359, 9.1151383 45.5024317, 9.1140524 45.5026887))",9.1140524,45.5026887
730,,"POLYGON ((9.133636 45.5087405, 9.1337488 45.5087234, 9.1338638 45.508706, 9.133899 45.5088199, 9.1339878 45.5091073, 9.1339002 45.5091659, 9.133868 45.5091707, 9.1337733 45.5091851, 9.133636 45.5087405))",9.133636,45.5087405
731,,"POLYGON ((9.1391789 45.5081335, 9.139314 45.5081523, 9.1392185 45.5084307, 9.1390871 45.508409, 9.1391789 45.5081335))",9.1391789,45.5081335
732,,"POLYGON ((9.1389271 45.508936, 9.1390572 45.5089564, 9.1391915 45.5085246, 9.1390614 45.5085072, 9.1389271 45.508936))",9.1389271,45.508936
733,,"POLYGON ((9.1391246 45.5094787, 9.1390979 45.5095691, 9.1400927 45.5097135, 9.1401195 45.5096232, 9.1391246 45.5094787))",9.1391246,45.5094787
734,,"POLYGON ((9.1313614 45.510125, 9.1319673 45.510258, 9.1319531 45.5102979, 9.1320448 45.5103257, 9.1319072 45.5106084, 9.1318502 45.5105939, 9.1317126 45.5106926, 9.1308947 45.5105097, 9.1313614 45.510125))",9.1313614,45.510125
735,,"POLYGON ((9.1642091 45.521874, 9.1641537 45.5218557, 9.1642224 45.5217535, 9.1641712 45.5217366, 9.1641999 45.5216939, 9.1643065 45.5217291, 9.1642091 45.521874))",9.1642091,45.521874
736,,"POLYGON ((9.1644459 45.5215278, 9.1643448 45.5214952, 9.1643984 45.5214135, 9.1644496 45.52143, 9.164491 45.5213668, 9.1645409 45.5213829, 9.1644459 45.5215278))",9.1644459,45.5215278
737,,"POLYGON ((9.1557903 45.5169996, 9.155754 45.5169873, 9.1558426 45.5168589, 9.1558789 45.5168712, 9.1557903 45.5169996))",9.1557903,45.5169996
738,,"POLYGON ((9.161257 45.5256681, 9.1612413 45.5256315, 9.1611265 45.5253624, 9.1611119 45.5253282, 9.1609497 45.525386, 9.1610735 45.5256393, 9.161257 45.5256681))",9.161257,45.5256681
739,,"POLYGON ((9.2056358 45.5265947, 9.2056556 45.52663, 9.2062616 45.5264632, 9.2062418 45.5264279, 9.2056358 45.5265947))",9.2056358,45.5265947
740,Bignami,"POLYGON ((9.2112535 45.5274769, 9.2120278 45.5272626, 9.2120803 45.5273582, 9.2122042 45.5275838, 9.2122858 45.5277323, 9.2124141 45.527966, 9.2123406 45.5279864, 9.2122602 45.5280086, 9.2116416 45.5281801, 9.2112535 45.5274769))",9.2112535,45.5274769
741,,"POLYGON ((9.2057223 45.5267518, 9.2057452 45.5267913, 9.206337 45.5266238, 9.2063142 45.5265842, 9.2057223 45.5267518))",9.2057223,45.5267518
742,,"POLYGON ((9.1759378 45.5218307, 9.1747916 45.5226988, 9.1749523 45.522803, 9.1757858 45.5221717, 9.1760985 45.5219349, 9.1759378 45.5218307))",9.1759378,45.5218307
743,,"POLYGON ((9.1792854 45.5226172, 9.1797136 45.522648, 9.1796744 45.5228514, 9.1792521 45.5228181, 9.1792854 45.5226172))",9.1792854,45.5226172
744,,"POLYGON ((9.1766697 45.5223849, 9.1770557 45.5226436, 9.1769815 45.5227355, 9.1769293 45.5227084, 9.1768738 45.5227331, 9.1768126 45.5226918, 9.176519 45.5224972, 9.1766697 45.5223849))",9.1766697,45.5223849
745,,"POLYGON ((9.1779155 45.5256357, 9.1776957 45.5256229, 9.1775992 45.5264334, 9.1778189 45.5264462, 9.1779155 45.5256357))",9.1779155,45.5256357
746,,"POLYGON ((9.160963 45.4327436, 9.1611275 45.4327405, 9.1612831 45.4327689, 9.1614589 45.4328275, 9.1615468 45.4328797, 9.1616821 45.4329936, 9.1617767 45.4331992, 9.1616235 45.4332799, 9.161513 45.4332973, 9.161362 45.4332941, 9.1612109 45.4332688, 9.160963 45.4327436))",9.160963,45.4327436
747,,"POLYGON ((9.1586679 45.4331991, 9.1587286 45.433182, 9.1594601 45.4329756, 9.1596162 45.4329316, 9.1596247 45.4329755, 9.1593604 45.4331773, 9.1589354 45.4332749, 9.1586679 45.4331991))",9.1586679,45.4331991
748,,"POLYGON ((9.1602806 45.4327378, 9.1607022 45.4326263, 9.1607169 45.4325924, 9.1608947 45.4325801, 9.1610589 45.432566, 9.1612007 45.4325819, 9.1613402 45.4326169, 9.1614607 45.4326548, 9.1615793 45.432718, 9.1615904 45.4327728, 9.1615733 45.4327886, 9.1615187 45.4328388, 9.1614379 45.4327964, 9.1613513 45.4327637, 9.1612424 45.4327338, 9.161087 45.4327177, 9.1609329 45.4327279, 9.1603579 45.4328799, 9.160318 45.4328066, 9.1602806 45.4327378))",9.1602806,45.4327378
749,,"POLYGON ((9.1383932 45.4405347, 9.1383124 45.440668, 9.1399377 45.4411532, 9.1400186 45.4410199, 9.1398733 45.4409765, 9.1384439 45.4405498, 9.1383932 45.4405347))",9.1383932,45.4405347
750,,"POLYGON ((9.1308326 45.4447501, 9.1306558 45.4446938, 9.1306784 45.4446585, 9.1308207 45.4444344, 9.1308531 45.4443853, 9.1310306 45.4444417, 9.1308326 45.4447501))",9.1308326,45.4447501
751,,"POLYGON ((9.2919793 45.4949204, 9.2919766 45.4949614, 9.2925709 45.4949808, 9.2925736 45.4949398, 9.2919793 45.4949204))",9.2919793,45.4949204
752,,"POLYGON ((9.2039814 45.5111542, 9.204031 45.5112144, 9.2042508 45.5115954, 9.2040471 45.5116505, 9.2038001 45.511207, 9.2039814 45.5111542))",9.2039814,45.5111542
753,,"POLYGON ((9.2049363 45.5114052, 9.2047215 45.5110306, 9.2045876 45.511065, 9.2045929 45.5111436, 9.2046935 45.5113187, 9.2047472 45.5113046, 9.2048209 45.5114381, 9.2049363 45.5114052))",9.2049363,45.5114052
754,,"POLYGON ((9.204255 45.5115997, 9.2043599 45.5117786, 9.2044253 45.5118901, 9.204365 45.511907, 9.2042831 45.5119437, 9.2042295 45.5119615, 9.2040525 45.5116552, 9.204255 45.5115997))",9.204255,45.5115997
755,,"POLYGON ((9.1571996 45.5025326, 9.1571211 45.5028695, 9.1580417 45.5033014, 9.1580607 45.5032076, 9.158199 45.5024274, 9.158151 45.5023909, 9.1571996 45.5025326))",9.1571996,45.5025326
756,,"POLYGON ((9.156845 45.5041396, 9.1568553 45.5040973, 9.1568859 45.5039383, 9.1575483 45.5039903, 9.1579184 45.5040279, 9.1578766 45.5042726, 9.1577253 45.5042621, 9.1572838 45.5043006, 9.156845 45.5041396))",9.156845,45.5041396
757,Parcheggio Parco esposizioni di Novegro,"POLYGON ((9.2753928 45.4714828, 9.2765143 45.4714755, 9.2765133 45.4714081, 9.2777223 45.4713858, 9.27772 45.4716, 9.2777152 45.4720626, 9.2777113 45.4724321, 9.2777117 45.4725333, 9.2763823 45.4725141, 9.2753272 45.4725055, 9.2753257 45.4723907, 9.2753167 45.4720343, 9.2753036 45.4715165, 9.2753418 45.4714871, 9.2753928 45.4714828))",9.2753928,45.4714828
758,,"POLYGON ((9.2746454 45.4721817, 9.2746669 45.4725278, 9.274066 45.472571, 9.273374 45.4725409, 9.2734232 45.4721919, 9.2746454 45.4721817))",9.2746454,45.4721817
759,,"POLYGON ((9.2727223 45.4682397, 9.2725721 45.4695935, 9.272615 45.4707484, 9.2703673 45.4707484, 9.2703834 45.46889, 9.2703995 45.4680435, 9.2727223 45.4682397))",9.2727223,45.4682397
760,,"POLYGON ((9.2746567 45.471552, 9.2746674 45.4720223, 9.2727899 45.4720072, 9.2728059 45.471537, 9.2746567 45.471552))",9.2746567,45.471552
761,,"POLYGON ((9.1076474 45.4539042, 9.1081223 45.4539699, 9.1083543 45.4539733, 9.1084615 45.4539386, 9.1085038 45.4538495, 9.1084452 45.4537673, 9.1083312 45.453733, 9.107758 45.4536508, 9.1076474 45.4539042))",9.1076474,45.4539042
762,,"POLYGON ((9.062889 45.4620914, 9.0630103 45.4618988, 9.0646939 45.4622251, 9.0645913 45.462472, 9.0632809 45.4622227, 9.0632305 45.4621536, 9.062889 45.4620914))",9.062889,45.4620914
763,,"POLYGON ((9.067522 45.4617379, 9.0678117 45.4612751, 9.0678976 45.4612262, 9.0680853 45.4611923, 9.068493 45.4612713, 9.0687934 45.4613541, 9.0685252 45.4615385, 9.0681765 45.4617228, 9.0679405 45.4617906, 9.0677152 45.4617868, 9.067522 45.4617379))",9.067522,45.4617379
764,,"POLYGON ((9.224325 45.5139944, 9.2243723 45.513987, 9.2242735 45.5136759, 9.2242262 45.5136833, 9.224325 45.5139944))",9.224325,45.5139944
765,,"POLYGON ((9.2043546 45.4970544, 9.2043757 45.4970829, 9.2047383 45.4969508, 9.2047172 45.4969223, 9.2043546 45.4970544))",9.2043546,45.4970544
766,,"POLYGON ((9.1882589 45.485721, 9.187882 45.4858087, 9.1880941 45.4858605, 9.1881131 45.4859521, 9.1883328 45.4859189, 9.1883135 45.4858671, 9.1882589 45.485721))",9.1882589,45.485721
767,,"POLYGON ((9.1631752 45.5070091, 9.1634914 45.5070632, 9.163602 45.5067457, 9.1632858 45.5066916, 9.1631752 45.5070091))",9.1631752,45.5070091
768,,"POLYGON ((9.1135291 45.4585841, 9.1139582 45.4574365, 9.1141653 45.457549, 9.1137276 45.4586217, 9.1135291 45.4585841))",9.1135291,45.4585841
769,,"POLYGON ((9.1025383 45.4618537, 9.1029322 45.4621601, 9.1032377 45.4615359, 9.1028702 45.4615001, 9.1028316 45.4616238, 9.1025383 45.4618537))",9.1025383,45.4618537
770,,"POLYGON ((9.1615896 45.5262022, 9.161077 45.5261144, 9.1611153 45.5260046, 9.1610485 45.5259932, 9.1609714 45.5262138, 9.1612663 45.526265, 9.1615509 45.5263131, 9.1615896 45.5262022))",9.1615896,45.5262022
771,,"POLYGON ((9.1630432 45.5261875, 9.1620026 45.5260366, 9.1619742 45.5261324, 9.1630149 45.5262833, 9.1630432 45.5261875))",9.1630432,45.5261875
772,,"POLYGON ((9.1639226 45.5271381, 9.164014 45.5268773, 9.1638435 45.5268487, 9.1637603 45.5271155, 9.1639226 45.5271381))",9.1639226,45.5271381
773,,"POLYGON ((9.1634834 45.5261281, 9.1638556 45.5261922, 9.1639246 45.5262023, 9.1638954 45.5262976, 9.1634515 45.5262254, 9.1634834 45.5261281))",9.1634834,45.5261281
774,,"POLYGON ((9.1627563 45.5266975, 9.1630341 45.5267386, 9.1631554 45.5263365, 9.1630051 45.5263142, 9.1629736 45.5264186, 9.1628462 45.5263997, 9.1627563 45.5266975))",9.1627563,45.5266975
775,,"POLYGON ((9.2388861 45.5006174, 9.2389992 45.5006975, 9.2392949 45.5004924, 9.2391819 45.5004124, 9.2388861 45.5006174))",9.2388861,45.5006174
776,,"POLYGON ((9.1821532 45.4731639, 9.182243 45.4731702, 9.1823187 45.4731589, 9.182362 45.4731497, 9.1824821 45.4731617, 9.182474 45.4731971, 9.1823378 45.4731815, 9.1823287 45.4732049, 9.1821371 45.473183, 9.1821532 45.4731639))",9.1821532,45.4731639
777,,"POLYGON ((9.2466034 45.5002033, 9.2466691 45.5003652, 9.2467122 45.5005064, 9.246046 45.500307, 9.2461648 45.5002564, 9.2461879 45.5001687, 9.2462839 45.500106, 9.2466034 45.5002033))",9.2466034,45.5002033
778,,"POLYGON ((9.2453546 45.499585, 9.2457362 45.4996439, 9.245766 45.4995813, 9.2459689 45.4995976, 9.2461328 45.4991902, 9.2456839 45.4991209, 9.2455021 45.4991131, 9.2453546 45.499585))",9.2453546,45.499585
779,,"POLYGON ((9.1964988 45.5034021, 9.1965247 45.5034861, 9.1968894 45.5034308, 9.1968635 45.5033467, 9.1964988 45.5034021))",9.1964988,45.5034021
780,,"POLYGON ((9.2171038 45.4845958, 9.2170942 45.4854296, 9.2169904 45.485429, 9.2168832 45.4854284, 9.2168927 45.4845947, 9.2171038 45.4845958))",9.2171038,45.4845958
781,,"POLYGON ((9.2055796 45.5265053, 9.2055973 45.5265361, 9.2061729 45.5263734, 9.2061552 45.5263427, 9.2055796 45.5265053))",9.2055796,45.5265053
782,,"POLYGON ((9.2057706 45.526844, 9.205793 45.5268835, 9.2063905 45.526717, 9.2063681 45.5266776, 9.2057706 45.526844))",9.2057706,45.526844
783,,"POLYGON ((9.196667 45.5176336, 9.1971999 45.5175785, 9.197241 45.5177, 9.1970408 45.5177313, 9.1966348 45.5177602, 9.1965418 45.5177576, 9.1965776 45.5176374, 9.196667 45.5176336))",9.196667,45.5176336
784,,"POLYGON ((9.116708 45.4788921, 9.1167132 45.4786418, 9.1166477 45.4786418, 9.1166477 45.4785137, 9.1169218 45.4785149, 9.1169201 45.4788909, 9.116708 45.4788921))",9.116708,45.4788921
785,,"POLYGON ((9.1241085 45.469594, 9.1246278 45.4693871, 9.1247376 45.4695359, 9.1243084 45.4696718, 9.124245 45.4696812, 9.1241853 45.4696693, 9.1241085 45.469594))",9.1241085,45.469594
786,,"POLYGON ((9.1144332 45.4701254, 9.1128567 45.4697234, 9.1127059 45.4700196, 9.1142956 45.4703992, 9.1144332 45.4701254))",9.1144332,45.4701254
787,,"POLYGON ((9.1131422 45.4695968, 9.1136489 45.4693742, 9.1137516 45.469378, 9.1138676 45.4694041, 9.113933 45.4694434, 9.113985 45.4694995, 9.113789 45.4698754, 9.1131182 45.4697024, 9.1130929 45.4696707, 9.1131422 45.4695968))",9.1131422,45.4695968
788,,"POLYGON ((9.1934477 45.4620529, 9.1937539 45.4622193, 9.1938748 45.4620205, 9.1937888 45.4620541, 9.1936932 45.4620553, 9.1936028 45.4620255, 9.1935727 45.4620038, 9.193555 45.4619472, 9.1935426 45.4619348, 9.1934477 45.4620529))",9.1934477,45.4620529
789,,"POLYGON ((9.183839 45.4450588, 9.1842864 45.4449892, 9.1843463 45.4451685, 9.1842783 45.4451802, 9.1843203 45.4453047, 9.1843852 45.4452945, 9.1844053 45.4453754, 9.1842484 45.4453547, 9.1842404 45.445398, 9.1839373 45.4453679, 9.183839 45.4450588))",9.183839,45.4450588
790,,"POLYGON ((9.1365749 45.4402248, 9.1354784 45.4399664, 9.1354101 45.440097, 9.135304 45.4403162, 9.1354597 45.4402496, 9.1355221 45.4402233, 9.13557 45.4402394, 9.1360215 45.4403547, 9.1360485 45.4405795, 9.1362316 45.4406336, 9.1365645 45.4403197, 9.1365749 45.4402248))",9.1365749,45.4402248
791,,"POLYGON ((9.1341367 45.4401221, 9.134197 45.4401382, 9.1343146 45.4399206, 9.1342543 45.4399046, 9.1341367 45.4401221))",9.1341367,45.4401221
792,,"POLYGON ((9.1330624 45.4403791, 9.132926 45.4403402, 9.1328678 45.4403236, 9.1331297 45.4398715, 9.133327 45.4399277, 9.1330624 45.4403791))",9.1330624,45.4403791
793,,"POLYGON ((9.1339994 45.440374, 9.1340504 45.4403885, 9.134117 45.4402739, 9.134066 45.4402593, 9.1339994 45.440374))",9.1339994,45.440374
794,,"POLYGON ((9.1341762 45.4403594, 9.134216 45.4403707, 9.1344532 45.4399634, 9.1344135 45.439952, 9.1341762 45.4403594))",9.1341762,45.4403594
795,,"POLYGON ((9.2917779 45.4949168, 9.2912577 45.4948941, 9.2912539 45.4949364, 9.2917742 45.4949591, 9.2917779 45.4949168))",9.2917779,45.4949168
796,,"POLYGON ((9.1428773 45.479404, 9.1430549 45.4793999, 9.1431041 45.4803675, 9.1429328 45.4803745, 9.1429197 45.4800313, 9.1429064 45.4799053, 9.1428773 45.479404))",9.1428773,45.479404
797,,"POLYGON ((9.2547695 45.4904185, 9.2540833 45.4902497, 9.2540434 45.4902734, 9.2540262 45.4903226, 9.2542405 45.4908249, 9.2545321 45.4908941, 9.2544742 45.491014, 9.2545435 45.4910305, 9.2548142 45.4904706, 9.2547695 45.4904185))",9.2547695,45.4904185
798,,"POLYGON ((9.2526823 45.4913154, 9.2526987 45.4912481, 9.2527796 45.4909346, 9.2528783 45.4905488, 9.2528835 45.4904737, 9.2528648 45.4902663, 9.252849 45.4900973, 9.2528495 45.490067, 9.2528767 45.4900626, 9.2536566 45.4901888, 9.253999 45.4910016, 9.2542065 45.4914487, 9.2541101 45.4915463, 9.2538352 45.4915285, 9.2534157 45.4914561, 9.2526823 45.4913154))",9.2526823,45.4913154
799,,"POLYGON ((9.2210036 45.4538859, 9.2210056 45.4538185, 9.2210051 45.4537277, 9.2211317 45.4536892, 9.2213411 45.4536872, 9.2213539 45.4537064, 9.22139 45.4537694, 9.2210036 45.4538859))",9.2210036,45.4538859
800,,"POLYGON ((9.1722536 45.4359768, 9.172347 45.4361953, 9.1723072 45.4362037, 9.1723359 45.4362707, 9.1720605 45.4363287, 9.1719384 45.4360432, 9.1722536 45.4359768))",9.1722536,45.4359768
801,,"POLYGON ((9.14101 45.5121764, 9.1411731 45.5122013, 9.1413155 45.5117433, 9.1411524 45.5117184, 9.14101 45.5121764))",9.14101,45.5121764
802,,"POLYGON ((9.1429202 45.5104887, 9.1430519 45.5100703, 9.1431759 45.5100895, 9.1430443 45.5105079, 9.1430066 45.510502, 9.1429202 45.5104887))",9.1429202,45.5104887
803,,"POLYGON ((9.1408544 45.5127026, 9.1409718 45.5123281, 9.1411284 45.5123522, 9.1410109 45.5127267, 9.1408544 45.5127026))",9.1408544,45.5127026
804,,"POLYGON ((9.1413287 45.5129154, 9.1414716 45.5124298, 9.1414759 45.5124153, 9.141541 45.5124248, 9.1417146 45.5124506, 9.1415647 45.512946, 9.1414283 45.5129284, 9.1413287 45.5129154))",9.1413287,45.5129154
805,,"POLYGON ((9.1401502 45.5138474, 9.1399155 45.513812, 9.1399524 45.5136915, 9.1401872 45.5137268, 9.1401672 45.5137919, 9.1401502 45.5138474))",9.1401502,45.5138474
806,,"POLYGON ((9.139856 45.5104892, 9.1391594 45.510383, 9.1392757 45.5100083, 9.139408 45.5100226, 9.1393232 45.5102863, 9.1398216 45.510365, 9.1398176 45.5103959, 9.1398819 45.5104057, 9.139856 45.5104892))",9.139856,45.5104892
807,,"POLYGON ((9.1419632 45.5108319, 9.1427748 45.5109635, 9.1427879 45.5108886, 9.1427939 45.510869, 9.1419871 45.5107453, 9.141979 45.5107716, 9.1419632 45.5108319))",9.1419632,45.5108319
808,,"POLYGON ((9.1660052 45.5062161, 9.1662339 45.5062778, 9.166467 45.5063362, 9.1668407 45.5064415, 9.1670741 45.5065044, 9.1669741 45.5066915, 9.1669082 45.5066722, 9.1669281 45.5066337, 9.1668219 45.5066084, 9.165927 45.5063585, 9.1659657 45.506288, 9.1660052 45.5062161))",9.1660052,45.5062161
809,,"POLYGON ((9.139425 45.5156454, 9.1394728 45.5154937, 9.1402622 45.515616, 9.1402144 45.5157677, 9.139425 45.5156454))",9.139425,45.5156454
810,,"POLYGON ((9.1420117 45.5160448, 9.142034 45.5159661, 9.142056 45.5158944, 9.142928 45.5160277, 9.1429054 45.5161051, 9.1428834 45.5161782, 9.1420117 45.5160448))",9.1420117,45.5160448
